English,Malayalam
please book a ticket of rajdhani express train from jaipur,തിരുവനന്തപുരത്തു നിന്നും രാജധാനി എക്സ്പ്രസ്സ് ഇൽ ഒരു ടിക്കറ്റ് ഇടപാട് ചെയ്യണം
show me upcoming events in this area,ഈ മേഖലയിലെ വരാനിരിക്കുന്ന പരിപാടികൾ എന്നെ കാണിക്കൂ
post to facebook aww i'm sick,ഓ എനിക്ക് അസുഖമാണ് എന്ന് ഫേസ്ബുക്ക് പോസ്റ്റ് ഇടുക
what do you think i look like,ഞാൻ എങ്ങനെയാണെന്നാണ് നിങ്ങൾ കരുതുന്നത്
olly is there anything i should be reminded about,എല്ലി എന്നെ ഓർമ്മിപ്പിക്കേണ്ട എന്തെങ്കിലും ഉണ്ടോ
is the weather calm today,ഇന്നത്തെ കാലാവസ്ഥ ശാന്തമാണ്
open playlist five,അഞ്ചാമത്തെ പ്ലേലിസ്റ്റ് തുറക്കുക
tell me a fun fact,രസകരമായ ഒരു വസ്തുത എന്നോട് പറയൂ
i want to know what time it is,സമയം എത്രയാണെന്ന് എനിക്ക് അറിയണം
facebook current stock rate,ഫേസ്ബുക്ക് നിലവിലെ സ്റ്റോക്ക് നിരക്ക്
find transportation to rome,ഡൽഹിയിലേക്കുള്ള ഗതാഗതം കണ്ടെത്തുക
what is the time in geneva,ഡൽഹിയിൽ സമയം എത്രയാണ്
tube was super busy today,ട്യൂബ് ഇന്ന് വളരെ തിരക്കിലായിരുന്നു
show me train tickets,തീവണ്ടി ടിക്കറ്റുകൾ എന്നെ കാണിക്കൂ
delete my workout from today,ഇന്ന് മുതൽ എന്റെ വർക്ക്ഔട്ട് ഇല്ലാതാക്കൂ
i need to see if i got any new email,എനിക്ക് എന്തെങ്കിലും പുതിയ ഇമെയിൽ കിട്ടിയോ എന്ന് നോക്കണം
set alarm for noon tomorrow,നാളെ ഉച്ചയ്ക്ക് അലാറം വെക്കുക
current time in ny,ചെന്നൈയിലെ ഇപ്പോഴത്തെ സമയം
add a meeting with my mother for next sunday,അടുത്ത ഞായറാഴ്ച അമ്മയുമായി ഒരു യോഗം ചേർക്കുക
set a reminder for a meeting at two p. m. tomorrow between myself and john,നാളെ ഉച്ചയ്ക്ക് രണ്ട് മണിക്ക് ഞാനും സൂരജും തമ്മിലുള്ള കൂടിക്കാഴ്ചയുടെ ഓർമ്മപ്പെടുത്തൽ സജ്ജമാക്കുക
dim the lights please,ലൈറ്റുകൾ ഡിം ചെയ്യുക
find the nearest taxi,ഏറ്റവും അടുത്തുള്ള ടാക്സി കണ്ടെത്തുക
what do i need to make pot roast,കരിമീൻ വറുത്തത് ഉണ്ടാക്കാൻ എനിക്ക് എന്താണ് വേണ്ടത്
tell me how to go bali without airplane with lowest cost option time doesn't matter i have two hundred days travel time and only dollars to spend,കുറഞ്ഞ ചെലവ് ഓപ്ഷൻ സമയം വിമാനമില്ലാതെ എങ്ങനെ ബാലിയിൽ പോകണമെന്ന് എന്നോട് പറയൂ
please check whether the email of jancy has come,ജാൻസിയുടെ ഇമെയിൽ വന്നിട്ടുണ്ടോയെന്ന് പരിശോധിക്കുക
i want to finish listening to the book one thousand nine hundred and eighty four from where i left off,ഞാൻ നിർത്തിയ സ്ഥലത്ത് നിന്ന് ആയിരത്തി തൊള്ളായിരത്തി എൺപത്തി നാല് എന്ന പുസ്തകം കേട്ട് പൂർത്തിയാക്കണം
play all songs from playlist favorite,പ്രിയപ്പെട്ട പ്ലേലിസ്റ്റിൽ നിന്നുള്ള എല്ലാ ഗാനങ്ങളും പ്ലേ ചെയ്യുക
what type of weather can i expect today,ഇന്ന് എന്ത് തരത്തിലുള്ള കാലാവസ്ഥയാണ് എനിക്ക് പ്രതീക്ഷിക്കാൻ കഴിയുക
recommend some local shops to me,അടുത്തുള്ള കടകൾ ശുപാർശ ചെയ്യുക
please mark my calendar for therapy every tuesday at eleven am,എല്ലാ ചൊവ്വാഴ്ചയും രാവിലെ പതിനൊന്ന് മണിക്ക് തെറാപ്പിക്കായി എൻ്റെ കലണ്ടർ അടയാളപ്പെടുത്തുക
delete the first item on the list,പട്ടികയിലെ ആദ്യത്തെ ഇനം ഇല്ലാതാക്കുക
email mom about lunch,ഉച്ചഭക്ഷണത്തെക്കുറിച്ച് അമ്മയ്ക്ക് ഇമെയിൽ ചെയ്യുക
play a angry bird,പാമ്പും കോണിയും കളിക്കുക
olly i just cleaned my car,ഓളി ഞാൻ എന്റെ കാർ വൃത്തിയാക്കി
instruct me to cook,എന്നെ പാചകം ചെയ്യാൻ ഉപദേശിക്കൂ
show me some current events,ചില സമകാലിക സംഭവങ്ങൾ എന്നെ കാണിക്കൂ
search nandy,നീതു തിരയൂ
can you tell me what haggis looks like,പോട്ടിക്കറി എങ്ങനെയുണ്ടെന്ന് എന്നോട് പറയാമോ
is that song from shakira,ഇത് സുജാതയുടെ പാട്ട് ആണോ
email my sister about mom's birthday jane we should think about arranging the party at the park,അമ്മയുടെ ജന്മദിനത്തെ കുറിച്ച് എന്റെ പെങ്ങൾക്ക് ഇമെയിൽ ചെയ്യുക തങ്ക നമുക്ക് പാർക്കിൽ പാർട്ടി സംഘടിപ്പിക്കുന്നതിനെക്കുറിച്ച് ചിന്തിക്കേണ്ടതായിട്ടുണ്ട്
call the closest mexican restaurant,ഏറ്റവും അടുത്തുള്ള ഇന്ത്യൻ ഭക്ഷണശാലയിലേക്ക് വിളിക്കുക
list shops in douglasville ga,കേരളത്തിലെ തിരുവനന്തപുരത്ത് ഉള്ള കടകൾ ലിസ്റ്റ് ചെയ്യുക
delete my meeting for two o'clock p. m. today,ഇന്ന് ഉച്ചയ്ക്ക് രണ്ട് മണിക്ക് ഉള്ള എൻ്റെ യോഗം ഇല്ലാതാക്കുക
olly i had a long hard day,ഒല്ലി എനിക്ക് വളരെ ബുദ്ധിമുട്ടുള്ള ഒരു ദിവസം ഉണ്ടായിരുന്നു
alexa play pdr on the am band radio,alexa എ. എം. ബാൻഡ് റേഡിയോയിൽ ആകാശവാണി പ്ലേ ചെയ്യുക
please tell me the latest news of world,ലോകത്തിലെ ഏറ്റവും പുതിയ വാർത്തകൾ എന്നോട് പറയൂ
martial arts,ആയോധന കലകൾ
what is the net worth of the celebrity,സെലിബ്രിറ്റിയുടെ ആസ്തി എന്താണ്
where is an olive garden that does takeaway,എവിടെയാണ് പാഴ്സൽ സേവനം നൽകുന്ന ബുഹാരി ഹോട്ടൽ
what day is the twenty second,ഇരുപത് സെക്കന്റ് ഏത് ദിവസമാണ്
change the music mode to rock,സംഗീത മോഡ് റോക്കിലേക്ക് മാറ്റുക
coffee make now,ഇപ്പോൾ കോഫി ഉണ്ടാക്കുക
how to reach hallway,ഇടനാഴിയിൽ എങ്ങനെ എത്തിച്ചേരാം
say the list,പട്ടിക വായിക്കുക
what is the yen worth,രൂപയുടെ മൂല്യം എന്താണ്
open my most recent email and reply,എൻ്റെ ഏറ്റവും പുതിയ ഇമെയിൽ തുറന്ന് മറുപടി നൽകുക
remove the latest alarm,അവസാന അലാറം ഒഴിവാക്കുക
start music,സംഗീതം ആരംഭിക്കുക
is it going to freeze overnight,ഇത് ഒറ്റരാത്രികൊണ്ട് തണുത്തു ഉറെയ്കാന്‍ പോകുകയാണോ
olly tell how vegetable is cooked,പച്ചക്കറി എങ്ങനെ പാകം ചെയ്യുന്നുവെന്ന് ഓളി പറയൂ
what video game should i play next,ഞാൻ അടുത്തതായി എന്ത് വീഡിയോ ഗെയിം കളിക്കണം
turn my morning alarm on,എൻ്റെ പ്രഭാത അലാറം ഓണാക്കുക
ok google what is the weather where i am at today,ശരി ഗൂഗിൾ നോക്കൂ ഞാൻ ഇന്നുള്ളിടത്തെ കാലാവസ്ഥ എന്താണ്
